P 3.1099, -65.8279, -28.9368,  0, 127, 0,  3,  to_Brother_Island
L -90.7639, 452.9073, 42.2062,  -90.8238, 398.3269, 41.9082,  240, 127, 0
L -90.8238, 398.3269, 41.9082,  -79.4809, 398.2588, 42.8220,  240, 127, 0
L -79.4809, 398.2588, 42.8220,  -79.3733, 386.9982, 41.9891,  240, 127, 0
L -79.3733, 386.9982, 41.9891,  -64.7850, 386.8951, 41.8733,  240, 127, 0
L -64.8520, 386.8503, 41.8733,  -63.9853, 393.9572, 41.8733,  240, 127, 0
L -63.9853, 393.9572, 41.8733,  68.4174, 395.6268, 47.7004,  240, 127, 0
L 68.4174, 395.6268, 47.7004,  70.8948, 402.2359, 48.8751,  240, 127, 0
L 70.8948, 402.2359, 48.8751,  76.4695, 402.2366, 48.8763,  240, 127, 0
L 76.4695, 402.2366, 48.8763,  78.3135, 399.9286, 47.7004,  240, 127, 0
L 78.3135, 399.9286, 47.7004,  82.6920, 399.8924, 47.7006,  240, 127, 0
L 82.6920, 399.8924, 47.7006,  82.1751, 451.8559, 42.1323,  240, 127, 0
L 82.1751, 451.8559, 42.1323,  84.8393, 455.8498, 42.1653,  240, 127, 0
L 84.8393, 455.8498, 42.1653,  162.9540, 455.8715, 42.2081,  240, 127, 0
L 162.9540, 455.8715, 42.2081,  167.4285, 453.6637, 42.2220,  240, 127, 0
L 167.4285, 453.6637, 42.2220,  177.8865, 444.6020, 41.1310,  240, 127, 0
L 177.8865, 444.6020, 41.1310,  182.7070, 448.2774, 41.5790,  240, 127, 0
L 182.7070, 448.2774, 41.5790,  178.8936, 452.6519, 42.2477,  240, 127, 0
L 178.8936, 452.6519, 42.2477,  176.8204, 457.2112, 42.2289,  240, 127, 0
L 176.8204, 457.2112, 42.2289,  174.4953, 469.4245, 42.2323,  240, 127, 0
L 174.4953, 469.4245, 42.2323,  175.1589, 476.9438, 42.2781,  240, 127, 0
L 175.1589, 476.9438, 42.2781,  176.6368, 482.1707, 42.2308,  240, 127, 0
L 176.6368, 482.1707, 42.2308,  182.6556, 492.9100, 42.2317,  240, 127, 0
L 182.6556, 492.9100, 42.2317,  187.8557, 498.1105, 42.2323,  240, 127, 0
L 67.8250, 275.3106, 16.2740,  59.1445, 275.1562, 16.2057,  127, 64, 0
L 59.1445, 275.1562, 16.2057,  59.5590, 267.9449, 17.7046,  127, 64, 0
L 59.5590, 267.9449, 17.7046,  56.1771, 265.3590, 17.7046,  127, 64, 0
L 56.1771, 265.3590, 17.7046,  -51.3000, 264.8659, 17.7046,  127, 64, 0
L -51.3000, 264.8659, 17.7046,  -53.5880, 266.8903, 17.7046,  127, 64, 0
L -53.5880, 266.8903, 17.7046,  -53.7008, 275.5989, 16.2051,  127, 64, 0
L -53.7008, 275.5989, 16.2051,  -65.2754, 275.4626, 16.2130,  127, 64, 0
L -65.2754, 275.4626, 15.9069,  -65.1606, 261.4993, 11.9467,  127, 64, 0
L -65.1606, 261.4993, 11.9467,  -54.1047, 261.6634, 11.9467,  127, 64, 0
L -54.1047, 261.6634, 11.9467,  -54.1047, 222.6782, 11.9467,  127, 64, 0
L -54.1047, 222.6782, 11.9467,  -76.7720, 222.7116, 11.9834,  127, 64, 0
L -76.7720, 222.7116, 11.9834,  -76.1423, 220.9880, 14.6645,  127, 64, 0
L -76.1423, 220.9880, 14.6645,  -76.8944, 220.1262, 14.6645,  127, 64, 0
L -76.8944, 220.1262, 14.6645,  -79.2580, 221.1338, 14.6645,  127, 64, 0
L -79.2580, 221.1338, 14.6645,  -80.9398, 222.9800, 14.6645,  127, 64, 0
L -80.9398, 222.9800, 14.6645,  -82.4531, 223.9265, 14.6645,  127, 64, 0
L -82.4531, 223.9265, 14.6645,  -83.2546, 225.9307, 14.6645,  127, 64, 0
L -83.2546, 225.9307, 14.6645,  -83.5803, 227.9138, 14.6645,  127, 64, 0
L -83.5803, 227.9138, 14.6645,  -83.6816, 227.9073, 16.1921,  127, 64, 0
L -83.6816, 227.9073, 16.1921,  -83.4076, 230.1250, 16.1936,  127, 64, 0
L -83.4076, 230.1250, 16.1936,  -82.3242, 232.7101, 16.1909,  127, 64, 0
L -82.3242, 232.7101, 16.1909,  -80.8890, 234.1093, 16.1978,  127, 64, 0
L -80.8890, 234.1093, 16.1978,  -78.6958, 235.7504, 16.1947,  127, 64, 0
L -78.6958, 235.7504, 16.1947,  -76.8355, 236.2830, 16.2027,  127, 64, 0
L -76.8355, 236.2830, 16.2027,  -75.8624, 236.5563, 16.1884,  127, 64, 0
L -75.8624, 236.5563, 16.1884,  -75.7973, 233.3006, 15.8074,  127, 64, 0
L -75.7973, 233.3006, 15.8074,  -62.3500, 233.2321, 13.4722,  127, 64, 0
L -62.3500, 233.2321, 13.4722,  -61.8344, 251.5800, 13.4725,  127, 64, 0
L -61.8344, 251.5800, 13.4725,  -72.9239, 250.8314, 13.4733,  127, 64, 0
L -72.9239, 250.8314, 13.4733,  -72.9407, 286.2148, 16.8553,  127, 64, 0
L -72.9407, 286.2148, 17.7382,  -72.9407, 286.2146, 16.2139,  127, 64, 0
L -72.9407, 286.2146, 16.2139,  -54.2911, 286.2712, 19.2469,  127, 64, 0
L -54.2911, 286.2712, 19.2469,  -54.1216, 376.2690, 19.2408,  127, 64, 0
L -54.1216, 376.2690, 19.2408,  -51.4829, 378.8985, 19.2376,  127, 64, 0
L -51.4829, 378.8985, 19.2376,  -43.1253, 378.8378, 17.7412,  127, 64, 0
L -43.1253, 378.8378, 17.7412,  -43.2700, 392.1297, 17.7534,  127, 64, 0
L -43.2700, 392.1297, 17.7534,  -126.8962, 392.2397, 15.8660,  127, 64, 0
L -126.8962, 392.2397, 15.8660,  -126.7845, 379.1300, 17.7900,  127, 64, 0
L -126.7845, 379.1300, 17.7900,  -124.1760, 378.5618, 17.7578,  127, 64, 0
L -124.1760, 378.5618, 17.7577,  -125.6790, 375.3267, 17.7572,  127, 64, 0
L -125.6790, 375.3267, 17.7572,  -126.6603, 372.7171, 17.7571,  127, 64, 0
L -126.6603, 372.7171, 17.7571,  -128.6646, 370.9515, 17.7570,  127, 64, 0
L -128.6646, 370.9515, 17.7570,  -131.9420, 370.2130, 17.7569,  127, 64, 0
L -131.9420, 370.2130, 17.7569,  -132.8573, 370.1116, 17.7567,  127, 64, 0
L -132.8573, 370.1116, 17.7567,  -134.9441, 370.4325, 17.7566,  127, 64, 0
L -134.9441, 370.4325, 17.7566,  -137.2900, 371.3147, 17.7566,  127, 64, 0
L -137.2900, 371.3147, 17.7566,  -138.6992, 372.6129, 17.7565,  127, 64, 0
L -138.6992, 372.6129, 17.7565,  -140.1300, 374.4148, 17.7564,  127, 64, 0
L -140.1300, 374.4148, 17.7564,  -140.6676, 376.2696, 17.7563,  127, 64, 0
L -140.6676, 376.2696, 17.7563,  -140.8077, 378.5726, 17.7562,  127, 64, 0
L -140.8077, 378.5726, 17.7562,  -138.4230, 378.5427, 16.2874,  127, 64, 0
L -138.4230, 378.5427, 16.2874,  -138.9530, 400.1576, 15.8900,  127, 64, 0
L -138.9530, 400.1576, 15.8900,  -32.8237, 400.1562, 17.4582,  127, 64, 0
L -32.8237, 400.1562, 17.7363,  -32.9692, 378.6730, 19.1968,  127, 64, 0
L -32.9692, 378.6730, 19.1968,  -32.9692, 378.6730, 19.1968,  127, 64, 0
L -10.4418, 273.1082, 19.3311,  -46.5140, 273.1564, 19.3485,  127, 64, 0
L -10.4715, 273.1659, 19.3313,  -10.4911, 288.3440, 19.3308,  127, 64, 0
L -10.4911, 288.3440, 19.3308,  28.1129, 288.9120, 43.7351,  127, 64, 0
L 27.7010, 279.9041, 43.7012,  -4.1599, 279.8387, 17.8541,  127, 64, 0
L 67.9758, 275.3679, 17.8628,  68.3830, 258.9134, 17.8554,  127, 64, 0
L 68.3830, 258.9134, 17.8554,  59.7796, 258.6399, 17.8551,  127, 64, 0
L 59.7796, 258.6399, 17.8551,  59.5835, 225.9728, 17.8583,  127, 64, 0
L 59.5835, 225.9728, 17.8583,  81.4996, 225.8550, 17.8962,  127, 64, 0
L 81.4996, 225.8550, 17.8962,  81.3352, 223.2815, 20.6193,  127, 64, 0
L 81.3352, 223.2815, 20.6193,  83.9787, 223.4370, 20.6193,  127, 64, 0
L 83.9787, 223.4370, 20.6193,  85.4575, 224.2423, 20.6193,  127, 64, 0
L 85.4575, 224.2423, 20.6193,  87.3298, 225.4370, 20.6193,  127, 64, 0
L 87.3298, 225.4370, 20.6193,  88.7647, 227.3756, 20.6193,  127, 64, 0
L 88.7647, 227.3756, 20.6193,  89.6003, 229.2355, 20.5827,  127, 64, 0
L 89.6003, 229.2355, 20.5827,  89.7259, 231.3240, 20.5827,  127, 64, 0
L 89.7259, 231.3240, 20.5827,  89.6448, 233.4962, 20.5827,  127, 64, 0
L 89.6448, 233.4962, 20.5827,  88.5173, 235.2820, 20.5827,  127, 64, 0
L 88.5173, 235.2820, 20.5827,  87.3875, 237.2299, 20.5827,  127, 64, 0
L 87.3875, 237.2299, 20.5827,  85.5929, 238.4970, 20.5827,  127, 64, 0
L 83.3401, 239.6007, 20.5827,  85.6834, 238.5763, 20.5930,  127, 64, 0
L 83.6379, 239.5499, 20.5930,  81.3774, 239.7704, 20.5838,  127, 64, 0
L 81.3774, 239.7704, 20.5838,  81.5040, 237.6000, 17.8938,  127, 64, 0
L 81.5040, 237.6000, 17.8938,  67.4492, 237.6480, 17.8571,  127, 64, 0
L 67.4492, 237.6480, 17.8571,  67.5644, 247.9703, 17.8902,  127, 64, 0
L 76.5183, 247.9273, 17.8576,  67.5644, 247.9703, 17.8680,  127, 64, 0
L 76.5181, 247.9275, 17.8560,  76.5199, 286.1696, 17.7965,  127, 64, 0
L 76.5199, 286.1696, 17.8630,  58.8980, 286.1320, 19.3645,  127, 64, 0
L 58.8980, 286.1320, 19.3645,  59.6600, 357.6558, 18.6101,  127, 64, 0
L 59.6600, 357.6558, 18.6101,  71.9849, 357.5199, 17.8749,  127, 64, 0
L 71.9849, 357.5199, 17.8749,  71.6050, 349.1060, 17.8629,  127, 64, 0
L 71.6050, 349.1060, 17.8629,  62.8686, 349.5180, 17.8695,  127, 64, 0
L 62.8686, 349.5180, 17.8695,  62.8667, 321.1539, 17.8663,  127, 64, 0
L 62.8667, 321.1539, 17.8663,  62.8667, 321.1539, 17.8663,  127, 64, 0
L 62.8667, 321.1539, 17.8663,  81.4877, 321.6520, 17.8975,  127, 64, 0
L 81.4877, 321.6520, 17.8975,  81.4667, 317.7289, 20.4920,  127, 64, 0
L 79.2556, 368.2484, 17.8040,  59.4253, 368.3432, 19.3539,  127, 64, 0
L 60.6039, 375.5364, -12.3700,  56.4902, 379.6508, -12.4300,  0, 0, 0
L 56.4902, 379.6508, -12.4300,  -51.1820, 379.6501, -10.9078,  0, 0, 0
L -51.2900, 379.6506, -10.5790,  -55.9640, 375.5534, -11.4794,  0, 0, 0
L -55.9640, 375.5536, -11.4743,  -55.9700, 268.2620, -10.8414,  0, 0, 0
L -55.9660, 268.3390, -11.6070,  -50.9834, 263.9506, -11.9995,  0, 0, 0
L -50.9829, 263.9499, -12.3300,  56.4919, 263.9499, -11.9286,  0, 0, 0
L 56.4904, 263.9501, -11.9669,  60.6032, 268.5160, -11.6295,  0, 0, 0
L 60.6034, 268.5500, -11.7370,  60.6034, 375.5541, -11.4588,  0, 0, 0
L -33.1345, 378.7991, 18.7363,  56.1923, 378.4119, 19.3558,  127, 64, 0
L 56.1923, 378.4119, 19.3558,  59.3021, 375.6811, 19.3601,  127, 64, 0
L 59.3021, 375.6811, 19.3601,  59.4253, 368.3432, 19.1805,  127, 64, 0
L -54.6844, 326.2717, -11.6622,  -74.6043, 326.2633, -11.4463,  127, 127, 127
L -74.6826, 317.7115, -11.4461,  -54.9847, 317.6270, -11.6560,  127, 127, 127
L -130.8851, 414.6001, -10.8780,  -124.6884, 414.6870, -9.7817,  0, 0, 0
L -130.8851, 414.6001, -10.8894,  -131.6830, 411.5192, -10.9189,  0, 0, 0
L -71.7112, 423.7438, -10.1430,  -71.6951, 429.5885, -10.1428,  0, 0, 0
L -71.6951, 429.5885, -10.1428,  -74.7930, 429.6080, -10.8806,  0, 0, 0
L -71.7121, 439.2930, -10.1450,  -71.6543, 433.2767, -10.1449,  0, 0, 0
L -71.6543, 433.2767, -10.1449,  -74.7287, 433.3253, -10.8956,  0, 0, 0
L -71.7121, 475.5120, -10.1417,  -71.7334, 480.9750, -10.8491,  0, 0, 0
L -71.7334, 480.9750, -10.8491,  -74.7287, 480.9424, -10.9042,  0, 0, 0
L -71.7121, 491.6090, -10.1524,  -71.7892, 484.7346, -10.1524,  0, 0, 0
L -71.7892, 484.7346, -10.1524,  -74.9945, 484.8081, -10.9247,  0, 0, 0
L -83.7990, 503.1786, -10.1463,  -89.5140, 503.3007, -10.9191,  0, 0, 0
L -99.3477, 503.1789, -10.1503,  -93.6950, 503.1655, -10.1502,  0, 0, 0
L -93.6950, 503.1655, -10.1502,  -93.1251, 500.1535, -10.9123,  0, 0, 0
L -114.1413, 503.1788, -10.1530,  -119.7828, 503.1668, -10.2784,  0, 0, 0
L -119.7828, 503.1668, -10.2784,  -119.6684, 500.1535, -10.9076,  0, 0, 0
L -129.6896, 503.1789, -10.1402,  -123.5867, 503.1114, -10.1402,  0, 0, 0
L -123.5867, 503.1114, -10.1402,  -123.4645, 500.6810, -10.8040,  0, 0, 0
L -144.4609, 503.1786, -10.5551,  -150.4410, 503.1048, -10.1343,  0, 0, 0
L -150.4410, 503.1048, -10.1343,  -150.4063, 500.5270, -10.9334,  0, 0, 0
L -160.9600, 503.1789, -10.1540,  -153.9973, 503.2597, -10.1540,  0, 0, 0
L -153.9973, 503.2597, -10.1540,  -154.1322, 500.1691, -10.9169,  0, 0, 0
L -193.5945, 469.6621, -10.1832,  -193.6396, 463.3023, -10.1480,  0, 0, 0
L -193.6396, 463.3023, -10.1480,  -190.5425, 463.2855, -10.8945,  0, 0, 0
L -193.5944, 454.1141, -10.1484,  -193.3942, 460.2438, -10.1484,  0, 0, 0
L -193.3942, 460.2438, -10.1484,  -190.5425, 460.2636, -10.8994,  0, 0, 0
L -164.8910, 500.9710, -9.7873,  -154.1322, 500.1691, -10.9107,  0, 0, 0
L -150.4063, 500.5270, -10.8915,  -123.4645, 500.6810, -10.9001,  0, 0, 0
L -89.4545, 499.9825, -10.9019,  -79.4000, 500.1970, -9.7677,  0, 0, 0
L -79.4000, 500.1970, -9.7677,  -74.7854, 495.9352, -9.7946,  0, 0, 0
L -89.5140, 503.3007, -10.8876,  -89.4545, 499.9825, -10.9116,  0, 0, 0
L -74.7848, 495.9490, -9.7977,  -74.9184, 484.8321, -10.9056,  0, 0, 0
L -74.7930, 429.6080, -10.8994,  -74.7853, 418.7273, -9.7998,  0, 0, 0
L -152.5995, 192.5860, 44.5938,  -183.3762, 192.5980, 42.6071,  240, 127, 0
L -183.3762, 192.5980, 42.6071,  -184.7200, 160.6508, 43.2695,  240, 127, 0
L 144.4776, 401.9620, -12.7383,  144.3568, 428.8073, 0.1649,  127, 64, 0
L 144.3568, 428.8073, 0.1649,  150.1028, 428.8697, 2.9948,  127, 64, 0
L 150.1028, 428.8697, 2.9948,  155.3323, 430.2764, 2.9948,  127, 64, 0
L 155.3323, 430.2764, 2.9948,  155.3695, 437.6037, 3.1048,  127, 64, 0
L 155.3695, 437.6037, 3.1048,  190.7648, 437.5670, 16.3933,  127, 64, 0
L 190.7648, 437.5670, 16.3933,  190.7598, 454.4427, 16.3933,  127, 64, 0
L 188.1065, 487.5000, 11.7989,  155.7130, 487.4563, 18.6099,  127, 64, 0
L 155.7130, 487.4563, 18.6099,  155.3154, 499.2995, 19.7109,  127, 64, 0
L 155.3154, 499.2995, 19.7109,  122.9937, 499.2993, 19.7097,  127, 64, 0
L 89.1747, 487.4890, 11.7989,  89.3949, 456.5507, 13.5691,  127, 64, 0
L 89.3949, 456.5507, 13.5691,  81.3302, 449.5480, 16.3928,  127, 64, 0
L 81.3302, 449.5480, 16.3928,  81.4351, 407.9400, 13.5691,  127, 64, 0
L 67.4460, 407.3570, 11.7904,  81.4351, 407.9400, 13.5691,  127, 64, 0
L -27.3040, 405.4363, -5.3690,  67.8910, 405.2411, 11.7898,  127, 64, 0
L 67.8910, 405.2411, 11.7898,  67.4430, 407.3570, 11.7904,  127, 64, 0
L -27.3040, 405.4363, -5.3690,  -27.5900, 394.6875, -5.3690,  127, 64, 0
L -27.5900, 394.6875, -5.3690,  -97.1060, 394.8790, -13.2386,  127, 64, 0
L -97.1060, 394.8790, -13.2386,  -96.9566, 379.3611, -13.3125,  127, 64, 0
L -186.4285, 379.6911, -12.1082,  -96.9566, 379.3611, -13.3125,  0, 0, 0
L -186.4276, 379.6836, -12.1227,  -190.5331, 375.5792, -12.1205,  0, 0, 0
L -190.5426, 375.5799, -12.1023,  -190.5444, 367.9456, -13.2757,  0, 0, 0
L -190.5444, 367.9456, -13.2757,  -197.9293, 368.1190, -13.3117,  127, 64, 0
L -197.9293, 368.1190, -13.3117,  -197.9550, 426.6259, 0.8625,  127, 64, 0
L -197.9550, 426.6259, 0.8625,  -189.4147, 426.3050, 0.8494,  127, 64, 0
L -189.4147, 426.3050, 0.8494,  -189.5412, 423.6349, 3.6781,  127, 64, 0
L -189.5412, 423.6349, 3.6781,  -162.5125, 423.7271, -7.9996,  127, 64, 0
L -162.5686, 439.3029, -8.5402,  -189.5099, 439.3879, 3.6781,  127, 64, 0
L -189.5099, 439.3879, 3.6781,  -189.4136, 436.7885, 0.8494,  127, 64, 0
L -189.4136, 436.7885, 0.8494,  -205.7275, 436.9390, 0.8625,  127, 64, 0
L -205.7275, 436.9390, 0.8625,  -205.7276, 357.4239, -13.3117,  127, 64, 0
L -205.7276, 357.4239, -13.3117,  -190.7790, 357.2957, -13.2757,  127, 64, 0
L -190.5414, 309.4570, -12.1049,  -190.7790, 357.2957, -13.2757,  0, 0, 0
L -190.5423, 309.4570, -12.1029,  -186.4274, 304.9311, -12.1021,  0, 0, 0
L -186.4274, 304.9311, -12.1021,  -178.9442, 305.7400, -13.2995,  0, 0, 0
L -178.9442, 305.7400, -13.2995,  -178.9439, 289.7463, -13.3117,  127, 64, 0
L -178.9439, 289.7463, -13.3117,  -137.6385, 289.7400, -13.3116,  127, 64, 0
L -137.6385, 289.7400, -13.3116,  -137.6420, 281.2266, -13.3080,  127, 64, 0
L -137.6420, 281.2266, -13.3080,  -139.2852, 281.1342, -13.3080,  127, 64, 0
L -139.2852, 281.1342, -13.3080,  -139.2754, 225.8150, -13.3080,  127, 64, 0
L -139.2754, 225.8150, -13.3080,  -190.6568, 225.3168, -11.1168,  0, 0, 0
L -190.5107, 140.3418, -12.1640,  -190.6568, 225.3168, -13.3080,  0, 0, 0
L -190.5452, 140.3402, -12.9720,  -186.4303, 136.2253, -12.9680,  0, 0, 0
L -186.4303, 136.2253, -12.9680,  -78.8448, 136.2357, -12.1172,  0, 0, 0
L -78.8448, 136.2357, -12.1172,  -74.7677, 140.3418, -12.1710,  0, 0, 0
L -74.7677, 140.3418, -12.1710,  -74.5973, 224.9661, -13.3080,  0, 0, 0
L -74.5973, 224.9661, -13.3080,  -126.2844, 224.8968, -13.3080,  0, 0, 0
L -126.2844, 224.8968, -13.3080,  -125.9899, 281.1338, -13.3080,  127, 64, 0
L -125.9899, 281.1338, -13.3080,  -127.5190, 281.1453, -13.3080,  127, 64, 0
L -127.5190, 281.1453, -13.3080,  -127.5661, 297.5747, -13.3116,  127, 64, 0
L -127.5661, 297.5747, -13.3116,  -168.8016, 297.5790, -13.3117,  127, 64, 0
L -168.8016, 297.5790, -13.3117,  -168.7925, 304.5584, -13.2757,  127, 64, 0
L -168.7925, 304.5584, -13.2757,  -78.8422, 304.9352, -12.1098,  0, 0, 0
L -74.7506, 375.5785, -12.1462,  -74.7272, 309.4550, -12.1013,  0, 0, 0
L -74.7272, 309.4550, -12.1013,  -78.8426, 304.9325, -12.1050,  0, 0, 0
L -74.7275, 375.5788, -12.1013,  -78.9221, 379.6931, -12.1044,  0, 0, 0
L -78.9221, 379.6931, -12.1044,  -80.9437, 379.6940, -12.1021,  127, 64, 0
L -80.9437, 379.6940, -12.1021,  -80.9437, 379.2137, -13.3115,  127, 64, 0
L -80.9437, 379.2137, -13.3115,  -87.3722, 379.2678, -13.3125,  0, 0, 0
L -87.3722, 379.2678, -13.3125,  -87.3987, 386.9900, -13.2386,  127, 64, 0
L -87.3987, 386.9900, -13.2386,  -19.1977, 387.5540, -5.3690,  127, 64, 0
L -19.1977, 387.5540, -5.3690,  -19.1664, 398.7790, -5.4880,  127, 64, 0
L -19.1664, 398.7790, -5.4880,  67.2009, 397.5958, 11.7883,  127, 64, 0
L 67.2009, 397.5958, 11.7883,  67.1963, 396.4746, 11.7885,  127, 64, 0
L 95.9026, 396.4556, 13.5691,  67.1963, 396.4746, 11.7635,  127, 64, 0
L 95.9026, 396.4556, 13.5716,  95.9299, 437.5470, 13.5691,  127, 64, 0
L 95.9299, 437.5470, 16.3928,  121.1454, 437.5530, 3.6972,  127, 64, 0
L 121.1454, 437.5530, 3.6972,  121.1642, 431.4556, 2.9948,  127, 64, 0
L 130.8045, 428.7250, 2.9948,  125.3164, 428.7907, 2.9948,  127, 64, 0
L 125.3164, 428.7907, 2.9948,  121.1642, 431.4556, 2.9948,  127, 64, 0
L 130.8922, 427.8806, 2.9948,  131.3000, 401.2119, -10.5614,  127, 64, 0
L 188.1068, 487.6500, 11.7989,  188.2322, 454.4427, 13.5691,  127, 64, 0
L 188.2322, 454.4427, 13.5691,  190.7598, 454.4427, 16.3933,  127, 64, 0
L 176.4141, 453.8706, 13.5691,  176.3285, 479.2119, 12.8280,  127, 64, 0
L 176.3285, 479.2119, 12.8280,  155.2606, 479.1587, 18.5009,  127, 64, 0
L 155.3154, 466.9782, 19.7103,  155.2606, 479.1587, 18.6099,  127, 64, 0
L 122.9964, 466.9780, 19.7083,  155.3137, 466.9780, 19.7103,  127, 64, 0
L 122.9939, 466.9775, 19.7113,  122.9742, 479.6330, 18.6099,  127, 64, 0
L 122.9742, 479.6330, 18.6099,  99.8999, 478.9913, 11.7990,  127, 64, 0
L 99.9634, 454.2508, 13.5691,  99.9698, 478.5559, 11.7990,  127, 64, 0
L 176.4141, 453.8706, -12.7809,  99.9634, 454.2508, 13.5691,  127, 64, 0
L 130.7934, 454.1211, 1.3755,  130.7661, 446.9902, 1.3755,  127, 127, 127
L 130.7661, 446.9902, 1.3755,  132.6962, 437.6220, 1.3755,  127, 127, 127
L 132.6962, 437.6220, 1.3755,  134.7062, 434.7629, 0.9547,  127, 127, 127
L 134.7062, 434.7629, 0.9547,  142.3564, 434.7615, 0.9545,  127, 127, 127
L 142.3564, 434.7615, 0.9545,  144.4200, 437.2307, 1.3755,  127, 127, 127
L 144.4200, 437.2307, 1.3755,  145.6119, 447.2260, 1.4190,  127, 127, 127
L 145.6119, 447.2260, 1.4190,  145.5701, 454.1404, 1.4587,  127, 127, 127
L 89.1747, 487.4930, 11.7989,  123.9820, 486.8872, 18.6099,  127, 64, 0
L 123.9820, 486.8872, 18.6099,  122.9933, 499.3000, 19.7122,  127, 64, 0
L -189.4100, 421.8125, -12.5413,  -190.5425, 418.7835, -11.3438,  0, 0, 0
L -190.5425, 418.7832, -11.3438,  -186.4223, 414.6680, -11.3430,  0, 0, 0
L -186.4284, 414.6687, -11.3444,  -174.9248, 414.7755, -12.5413,  0, 0, 0
L -181.5168, 411.7085, -11.7969,  -181.5168, 400.6786, -11.7969,  0, 0, 0
L -181.5168, 400.6786, -11.7969,  -165.8607, 400.6784, -11.7969,  0, 0, 0
L -165.8536, 400.6786, -11.7969,  -165.8541, 411.7010, -11.7969,  0, 0, 0
L -165.8541, 411.7010, -11.7969,  -171.7002, 411.6575, -12.5647,  0, 0, 0
L -171.6964, 414.6687, -11.3450,  -133.9105, 414.6680, -11.3445,  0, 0, 0
L -133.9105, 414.6680, -12.2111,  -133.9105, 411.6856, -12.5647,  0, 0, 0
L -140.4644, 411.7090, -11.7969,  -133.9105, 411.6856, -12.5647,  0, 0, 0
L -140.4644, 411.7074, -11.7969,  -140.4305, 400.6777, -11.7969,  0, 0, 0
L -140.4305, 400.6777, -11.7969,  -124.8016, 400.6786, -11.7969,  0, 0, 0
L -124.8016, 400.6786, -11.7969,  -124.8014, 411.6831, -11.7969,  0, 0, 0
L -124.8014, 411.6831, -11.7969,  -131.6830, 411.5192, -12.5647,  0, 0, 0
L -174.9167, 411.7246, -12.5647,  -174.9248, 414.7755, -12.5413,  0, 0, 0
L -181.5168, 411.7085, -11.7969,  -174.9167, 411.7246, -12.5647,  0, 0, 0
L -171.7002, 411.6575, -12.5647,  -171.6964, 414.6687, -12.5413,  0, 0, 0
L -124.6884, 414.6870, -11.3335,  -93.2030, 414.4818, -12.5413,  0, 0, 0
L -93.2030, 414.4818, -12.5413,  -93.1015, 411.1702, -12.5647,  0, 0, 0
L -93.1015, 411.1702, -12.5647,  -99.4170, 411.7510, -11.7969,  0, 0, 0
L -99.4170, 411.7510, -11.7969,  -99.4059, 400.6786, -11.7969,  0, 0, 0
L -99.4059, 400.6786, -11.7969,  -83.7557, 400.6779, -11.7969,  0, 0, 0
L -83.7557, 400.6779, -11.7969,  -83.7558, 411.1265, -11.7969,  0, 0, 0
L -83.7558, 411.1265, -11.7969,  -90.2420, 411.6560, -12.5647,  0, 0, 0
L -78.8426, 414.6696, -11.3457,  -90.1530, 414.6598, -11.3429,  0, 0, 0
L -90.1530, 414.6598, -12.5413,  -90.2420, 411.6560, -12.5647,  0, 0, 0
L -78.8429, 414.6711, -11.3495,  -74.7853, 418.7273, -11.3438,  0, 0, 0
L -74.7287, 433.3253, -11.3438,  -74.7287, 480.9424, -11.3306,  0, 0, 0
L -93.1251, 500.1535, -11.3392,  -119.6684, 500.1535, -11.3446,  0, 0, 0
L -164.9824, 500.1537, -11.3446,  -170.3143, 497.9443, -11.3461,  0, 0, 0
L -170.3143, 497.9443, -11.3461,  -171.8011, 496.4594, -11.3457,  0, 0, 0
L -171.8011, 496.4594, -11.3457,  -174.9218, 492.9508, -12.5541,  0, 0, 0
L -174.9218, 492.9508, -12.5541,  -182.1026, 499.9999, -12.5541,  0, 0, 0
L -182.1026, 499.9999, -12.5541,  -175.4045, 505.8408, -11.3073,  0, 0, 0
L -240.5149, 500.2536, -11.3462,  -232.2616, 490.7038, -11.3437,  0, 0, 0
L -208.7732, 482.5432, -11.3452,  -196.1210, 485.1028, -11.3943,  0, 0, 0
L -196.1210, 485.1028, -11.3943,  -190.3149, 492.4365, -12.5541,  0, 0, 0
L -190.3149, 492.4365, -12.5541,  -181.8483, 485.3804, -12.5541,  0, 0, 0
L -181.8483, 485.3804, -12.5541,  -188.4923, 479.3915, -11.9160,  0, 0, 0
L -188.4923, 479.3915, -11.3452,  -190.5425, 472.4925, -11.3439,  0, 0, 0
L -190.5425, 472.4925, -11.3439,  -190.5426, 442.2001, -11.3446,  0, 0, 0
L -190.5426, 442.2001, -11.3446,  -187.4286, 440.1548, -11.8241,  0, 0, 0
L -187.4286, 440.1548, -11.8241,  -162.5700, 440.2653, -12.5413,  0, 0, 0
L -189.4095, 421.8124, -12.5413,  -162.5078, 421.6843, -12.5413,  0, 0, 0
L -162.5414, 421.7889, -12.5413,  -162.5700, 440.2653, -12.5413,  0, 0, 0
L -167.8451, 521.9011, -11.7969,  -157.1913, 524.7566, -11.7969,  0, 0, 0
L -157.1913, 524.7566, -11.7969,  -161.2446, 539.8849, -11.7969,  0, 0, 0
L -161.2446, 539.8849, -11.7969,  -171.8985, 537.2940, -11.7969,  0, 0, 0
L -171.8985, 537.2940, -11.7969,  -169.6979, 529.8714, -12.5647,  0, 0, 0
